method,top_k,recall,precision,f1
BM25_Only,3,0.4846333333333333,0.3733333333333333,0.41585093795093797
BM25_Only,4,0.5436333333333333,0.31525,0.3935388888888889
BM25_Only,5,0.5841916666666666,0.2718,0.3659513653013653
BM25_Only,6,0.621375,0.2416333333333333,0.3434168831168831
BM25_Only,7,0.6567333333333334,0.2194285714285714,0.32481810411810413
BM25_Only,8,0.6759,0.19775,0.302336963036963
BM25_Only,9,0.7003166666666666,0.18266666666666664,0.2865016238663297
BM25_Only,10,0.7187333333333333,0.1688,0.2704963675213675
BM25_Only,11,0.7403166666666666,0.15790909090909092,0.25770723556629127
BM25_Only,12,0.7584333333333333,0.14841666666666667,0.24589649859943974
BM25_Only,13,0.7756083333333333,0.14023076923076921,0.23533331981915576
BM25_Only,14,0.790475,0.1327142857142857,0.2252821512336992
BM25_Only,15,0.8031416666666666,0.12613333333333332,0.21615657024060575
BM25_Only,16,0.8166749999999999,0.1203125,0.20799091288828128
BM25_Only,17,0.8281166666666667,0.1151764705882353,0.20057758506939283
BM25_Only,18,0.8396833333333332,0.11038888888888887,0.19359354196528109
BM25_Only,19,0.8526666666666667,0.1063157894736842,0.18762293326641152
BM25_Only,20,0.8596666666666666,0.10185000000000001,0.18079240759240758
FAISS_Only,3,0.48546666666666666,0.3723333333333333,0.4156858585858586
FAISS_Only,4,0.5355666666666666,0.30925,0.3867753968253968
FAISS_Only,5,0.58065,0.2686,0.36255617715617716
FAISS_Only,6,0.6155916666666666,0.23829999999999996,0.33929819624819624
FAISS_Only,7,0.6499916666666666,0.21599999999999997,0.3204056721056721
FAISS_Only,8,0.672175,0.196375,0.3004621128871129
FAISS_Only,9,0.6961083333333333,0.1812222222222222,0.28442080664433605
FAISS_Only,10,0.7240916666666667,0.1699,0.27234789377289376
FAISS_Only,11,0.749225,0.16,0.2610523387087628
FAISS_Only,12,0.7677583333333333,0.15041666666666667,0.24915595238095237
FAISS_Only,13,0.7821333333333333,0.14169230769230767,0.23771961767163005
FAISS_Only,14,0.79825,0.13449999999999998,0.2281860821840698
FAISS_Only,15,0.813,0.12799999999999997,0.21931413892788237
FAISS_Only,16,0.82545,0.121875,0.21067264373053846
FAISS_Only,17,0.8402000000000001,0.11694117647058823,0.20370270874815494
FAISS_Only,18,0.8516833333333332,0.11205555555555555,0.19654948602122513
FAISS_Only,19,0.8627583333333333,0.10757894736842104,0.18989388815693165
FAISS_Only,20,0.87625,0.10385000000000001,0.18436233042319997
ScoreFusion_Hybrid,3,0.53955,0.41633333333333333,0.46343189033189036
ScoreFusion_Hybrid,4,0.5945499999999999,0.34525,0.4307888888888889
ScoreFusion_Hybrid,5,0.6388666666666667,0.2978,0.4007760905760906
ScoreFusion_Hybrid,6,0.6743583333333334,0.2618,0.37238809523809524
ScoreFusion_Hybrid,7,0.7056749999999999,0.23528571428571424,0.34866324786324787
ScoreFusion_Hybrid,8,0.729075,0.212875,0.3257940476190476
ScoreFusion_Hybrid,9,0.7536499999999999,0.1958888888888889,0.30755640242110827
ScoreFusion_Hybrid,10,0.7717166666666667,0.181,0.2901604700854701
ScoreFusion_Hybrid,11,0.7894416666666667,0.1688181818181818,0.27532614341283074
ScoreFusion_Hybrid,12,0.8077916666666666,0.15866666666666665,0.26264066293183935
ScoreFusion_Hybrid,13,0.819025,0.1485384615384615,0.2491215895129982
ScoreFusion_Hybrid,14,0.8304416666666667,0.14007142857142857,0.23756055680645463
ScoreFusion_Hybrid,15,0.8478416666666667,0.1336,0.22883338204847156
ScoreFusion_Hybrid,16,0.8579249999999999,0.126875,0.21921941596415281
ScoreFusion_Hybrid,17,0.8695416666666667,0.12105882352941177,0.2108282891022021
ScoreFusion_Hybrid,18,0.8846083333333333,0.11644444444444443,0.20421189752276706
ScoreFusion_Hybrid,19,0.8922666666666667,0.11136842105263156,0.19653487358052577
ScoreFusion_Hybrid,20,0.8991333333333333,0.10679999999999999,0.18952967510750118
